tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
Immune	Myeloid cell	Macrophage	Macrophage (M2B)	pos	"PTGS2,IRF4,SOCS3,SPHK1,SPHK2,CD86,IL4R,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Macrophage	Macrophage (M2B)	sec	"CCL1,CCL20,CXCL1,CXCL2,CXCL3,CSF3,CSF2,IL1B,IL6,IL10,TNF"
Immune	Myeloid cell	Macrophage	Macrophage (M2C)	pos	"IRF4,SOCS3,TLR8,CCR2,SLAMF1,CD163,IL4R,MRC1,MSR1,SCARB1,TLR1"
Immune	Myeloid cell	Macrophage	Macrophage (M2C)	sec	"CCL16,CCL18,CXCL13,IL10,TGFB1,TGFB2,TGFB3"
Immune	Myeloid cell	Macrophage	Macrophage (M2D)	pos	NOS2
Immune	Myeloid cell	Macrophage	Macrophage (M2D)	sec	"CCL5,CXCL10,CXCL16,IL10,IL12A,IL12B,TNF,VEGFA,VEGFB,VEGFC,VEGFD"
Immune	Myeloid cell	Monocyte	Monocyte	pos	"ADGRE2,ALCAM,BSG,CCR1,CCR2,CCR5,CCR6,CCR8,CD14,CD155,CD163,CD180,CD200R1,CD200R1L,CD226,CD200R1L,CD300A,CD300C,CD300E,CD300LB,CD300LD,CD300LF,CD33,CD36,CD43,CD45,CD53,CD68,CD84,CD97,CSF1R,CSF3R,CSF2RA,CX3CR1,CXCR1,CXCR4,CXCR6,ENG,FCER1A,FCGR1A,FCGR1BP,FCGR3A,FCGR3B,FCAR,HCK,HRH4,ICAM1,ICAM2,IL10RA,IL27RA,IL34,IL6R,ITGA2B,ITGA4,ITGB2,ITGB3,ITGB7,ITGAM,ITGAX,L1CAM,LAIR1,LAIR2,LTB4R,LTB4R2,LILRA1,LILRA2,LILRA3,LILRA4,LILRA5,LILRB1,LILRB2,LILRB3,LILRB4,LILRB5,LILRC1,LRP1,LRP1B,LY6G6C,LY6G6D,LY86,LY96,LRP2,MMR,MS4A2,MS4A7,MS4A8,NUP85,PTPRC,PTPRJ,S100A8,S100A9,SCARB2,SELE,SELL,SELPLG,SLAMF1,THBD,TNFRSF14,TREM1,TREM2,TREML1,TREML3P"
Immune	Myeloid cell	Dendritic cell	DC (Classical)	pos	"CD14,CD80,CD86,CCR7,CD1A,CD1C,ITGAM,ITGAX,CD40,CD83,IL3RA,THBD,CX3CR1,CLEC9A,CD209,EPCAM,CADM1,CD207,XCR1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Dendritic cell	DC (Classical)	neg	CD1A
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	pos	"ITGAX,CLEC4C,IL3RA,NRP1,TCF4,IRF7,IRF8,SPIB,TLR7,TLR9,LILRA4,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	neg	CD1A
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	sec	"IFNA1,IFNB1,IL6,TNF"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	pos	"CD1A,CD1C,ITGAX,CD14,FCGR1A,FCER1A,MRC1,SIRPA,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	sec	"IL23A,NOS1,TNF"
Immune_ext	MDSC	MDSC	MDSC (Granulocytic)	pos	"ITGAM,FUT4,CD33,CEACAM8,FCGR3A,IL4R,FLT1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune_ext	MDSC	MDSC	MDSC (Granulocytic)	neg	CD14
Immune_ext	MDSC	MDSC	MDSC (Granulocytic)	sec	"IL10,MMP9,TGFB1,VEGFA"
Immune_ext	MDSC	MDSC	MDSC (Monocytic)	pos	"ITGAM,CD14,CD33,IL4R,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune_ext	MDSC	MDSC	MDSC (Monocytic)	neg	"CEACAM8,FUT4"
Immune_ext	MDSC	MDSC	MDSC (Monocytic)	sec	"IL10,MMP9,TGFB1,VEGFA"
Immune	Mast cell	Mast cell	Mast cell	pos	"MITF,CD33,PTPRC,KIT,ENPP3,FCGR2A,FCGR2B,FCER1A,IL3RA,ITGAX,GATA2,TPSB2,TPSAB1,MILR1,CMA1,EDN1,HRH4,IL27RA,LXN,MCPT1,MCPT6,MCEMP1,PAG1,PLSCR1,SRGN,TPSAB1"
Immune	Mast cell	Mast cell	Mast cell	neg	"ITGAM,ITGA2"
Immune_ext	Granulocyte	Basophil	Basophil	pos	"ACSS2,ADORA2B,AQP9,BACE1,BMP4,CABLES1,CCL3,CCL4,CCR3,CD33,CD44,CD69,CDH1,CEBPA,CPA3,DNASE2B,E2F8,ENPP3,FADS1,FADS2,FAR2,FBXO9,FCER1A,GABBR1,GATA2,GPC4,GPR183,GRM6,HDC,HGF,HIST1H1D,HIST1H2AC,HTR1B,ID1,IFITM1,IGFBP7,IL3RA,IL4,IL4R,INF2,ITGAL,ITGAM,ITGAX,ITGB7,JAZF1,L1CAM,LAMA5,LTC4S,MBOAT1,MS4A2,MS4A3,NFIL3,NPL,OSBPL5,OTUB2,P2RY1,PDK3,PDZD4,PERP,PIGY,PLEKHG5,PLG,RNF39,SLC26A3,SLC26A8,SNCAIP,ST6GALNAC5,SUPT3H,TEC,TLR4,TULP3,UNC93A,WRN"
Immune_ext	Granulocyte	Basophil	Basophil	neg	"KIT,ITGB7,CD3D,CD3E,CD3G,FCER2"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	pos	"CCR3,ITGAM,FUT4,PTPRC,CEACAM8,ADGRE1,IL5RA,ITGA4,SIGLEC8,ANPEP,CCR1,CD34,CD4,CD44,CD48,CD58,CD63,CD69,CD80,CD81,CD86,CEBP,CR1,CXCR2,CXCR3,CYSLTR1,FCAR,FCGR3A,GATA1,ICAM1,IL17RA,IL3RA,ITGAL,ITGAX,ITGB1,ITGB2,KLRB1,LTA,LTB4R,SELL,SELP,SELPLG,SPI1,TLR2,TLR4,TLR9,TNF,TNFRSF9,ID1"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	neg	"FCGR3A,FCGR3B"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	sec	"CCL11,CCL24,CCL26,CSF2,CXCL8,IFNG,IL13,IL3,IL33,IL4,IL5,IL6,MMP9"
Immune_ext	Granulocyte	Neutrophil	Neutrophil	pos	"ADAM8,ADPGK,ARG2,ASPRV1,AZU1,BST1,C5AR1,CAMP,CCL3,CCR1,CCRL2,CD14,CD177,CD24,CD33,CEACAM1,CEACAM8,CFP,CLEC4D,CLEC4E,CRP,CSF3R,CTSG,CXCL2,CXCR1,CXCR2,DEFA1,DEFA3,DOCK8,ELANE,FCGR1A,FCGR3A,FUT4,HDC,HP,IL1B,IL1R2,ITGAM,ITGAX,JAML,LCN2,LRG1,LTF,LYST,LYZ,MME,MMP8,MMP9,MPO,MYLK,NCF1,NLRP3,OAS3,OSM,PECAM1,PILRA,PRTN3,PSTPIP1,PTGS2,S100A4,S100A8,S100A9,SELL,SERPINB1,SLC1A5,SNX20,SORL1,TLR2,TREM1"
Immune_ext	Granulocyte	Neutrophil	Neutrophil	neg	ITGA4
Generic	Endothelial cell	Endothelial cell	common	pos	"CD300LG,CD34,CDH5,CLDN5,EGFL7,EMCN,ESAM,FLT1,FLT4,KDR,PECAM1,PODXL,S1PR1,SELE,SELP,TEK,THSD1,THSD7A,VCAM1,VEGFC,VWF"
Generic	Endothelial cell	Endothelial cell	Endothelial cell	pos	"ACKR1,GJA5"
Generic	Endothelial cell	Endothelial cell	Lymphatic Endothelial cell	pos	"PDPN,PROX1"
Generic	Endothelial cell	Endothelial cell	Endothelial tip cell	pos	"ANGPT2,DLL4,ESM1,KCNE3"
Generic	Smooth muscle cell	Smooth muscle cell	Smooth muscle cell	pos	"ACTA2,ACTG2,CALD1,CNN1,DES,EMILIN2,HEXIM1,HRH2,LGR5,LGR6,MYH11,MYL9,NOTCH3,TAGLN,MCAM,TPM2"
Generic	Fibroblast	Fibroblast	Fibroblast	pos	"A2M,ACTA2,C1R,C1S,CADM3,CCDC80,COL1A1,COL1A2,COL3A1,COL5A1,COL6A2,ELN,FAP,FBLN1,FBLN2,LOXL1,LUM,PDGFRA,THY1,DCN,PLA2G2A,RARRES1"
Generic	Fibroblast	Fibroblast	Fibroblast	neg	EPCAM
Generic	Adipocyte	Adipocyte	Adipocyte progenitor cell	pos	"CEBPA,EBF2,EGFR,FGF10,GATA3,GLI1,GSC,HOXC4,HOXC6,HOXC8,HOXC9,MMP3,NRG4,PPARG,SCARA5,SMO,STAB1,SULT1E1,TCF7L1,TWIST2,WISP2,WT1,ZNF521"
Generic	Adipocyte	Adipocyte	Adipocyte	pos	"ACADSB,ACSL1,ACVR1C,ADAM12,ADAMTS5,ADIPOQ,ADM2,ADRB1,ADRB2,ADRB3,AGT,ANGPTL2,AOC3,APOC1,APOL6,APPL2,AQP5,AR,ARNT,AZGP1,BCAT2,C3,CAVIN1,CCL11,CDO1,CFD,CIDEA,CIDEC,CITED1,COL5A3,COL6A2,CPPED1,CPT1B,CPXM1,CREB3L1,CRNDE,CYP11B2,CYP1B1,CYP27A1,CYTH3,DEPTOR,DPT,EBF2,EGFR,ELOVL3,EPSTI1,ESM1,FABP4,FFAR2,FGF7,FMO1,FST,FZD4,GDF10,GULP1,H6PD,HOXC9,HSD11B1,LBP,LEP,LGALS12,LHX8,LOX,LPIN1,LRP1,MAOB,MC2R,MEST,METRN,METRNL,MMP2,MNDA,MPZL1,MT2A,MYO1C,NMB,NNMT,NQO1,NR1H3,P2RX5,PCK1,PDE3B,PIKFYVE,PLIN1,PNPLA2,POSTN,PPARG,PPARGC1A,PRDM16,PTGES,PXMP2,RARRES2,RETN,RSPO3,SERPINF1,SLC1A5,SLC2A4,SLC36A2,SOCS1,STAT6,STEAP4,SULT1A1,SYAP1,TBX1,TCF21,TFE3,TIMP1,TLR2,TLR4,TMEM26,TNFRSF9,TRIP10,TSPO,UCP1,XDH,ZBTB16,ZNF423"
Generic	Chondrocyte	Chondrocyte	Chondrocyte	pos	"ACAN,AGER,ATF4,ATRX,BMP2,CHAD,CHODL,COL10A1,COL11A1,COL2A1,COL6A1,COL9A1,COL9A3,COMP,CREB3L2,CRTAC1,CTNNB1,CYTL1,DLK1,EMP1,FGF18,GADD45B,GLI3,HAPLN1,IGF2,IL10RA,LCN2,LUM,MATN1,MATN3,MGP,MIA,MMP13,NOG,PBX3,PRG4,PTHLH,RUNX2,RUNX3,S100A8,S100A9,SCRG1,SDC3,SHOX,SMO,SOX6,STAT1,TCF4,TNC,VDR,VEGFA"
Epithelium	Epithelial cell	Epithelial cell	Epithelial cell	pos	"AGER,AGR2,ALOX15,ANLN,ANPEP,APOA1,AQP3,BMI1,BOK,BRCA1,CCL20,CD2,CD24,CDH1,CDH3,CDKL1,CDKN2A,CEACAM1,CEACAM5,CKAP2,CKAP2L,CLDN1,CRYBA1,CTSE,CXCL10,CXCL17,CXCL8,DEFB1,DGAT2,DKK3,DLX5,ECT2,EHF,ELF3,EMILIN2,EPCAM,EXO1,F5,FERMT1,FMO5,FOXA1,FZD6,GABRP,GATA2,GGT1,GPA33,GUCA2A,HBEGF,HIRIP3,HMMR,ICAM1,IFI16,IL1R1,INCENP,ITGA1,ITGA2,ITGA4,ITGA5,ITGAL,ITGB4,ITPR2,IVL,KIF15,KIF20B,KIF23,KLK1,KLK10,KLK3,KRT1,KRT13,KRT14,KRT15,KRT16,KRT2,KRT3,KRT5,KRT7,LGALS4,LTF,LYPD8,MECOM,MSX1,MUC1,MUC13,MUC16,MUC5AC,NKD1,NRP2,OCLN,P2RX7,PAQR5,PGR,PHGR1,PIGR,PLA2G4A,PLEKHS1,PRC1,PRG4,PROM1,PSCA,RAI14,RNF128,SCGB1A1,SCNN1A,SCNN1B,SCNN1D,SCNN1G,SEC23B,SELENBP1,SFN,SFRP5,SI,SLC25A48,SLC46A2,SPRR1B,SPTSSB,ST6GAL1,SYCN,THRSP,TM4SF20,TP63,TSPAN1,TSPAN8,TSTD1,TTR,VSIG2,ZFP42"
Epithelium	Epithelial cell	Epithelial cell	Basal cell	pos	"ACADVL,ACTG2,ALKBH7,ANXA11,BACE2,BCL2,BMP7,BNIP3,CAPN1,CDH3,CTNNB1,DNPH1,DPP7,DUSP23,FBXO32,GAPDHP1,GYPC,HEBP2,ILK,IRF6,ITGA2,ITGA3,ITGB4,ITGB6,KRT14,KRT15,KRT17,KRT23,KRT5,KRT6B,LAMB3,LAMC2,METTL5,MMP7,MT1E,MT1L,MT1X,MT2P1,MYLK,NNMT,OPTN,PKP3,PLAU,PLP2,RAB13,RAB38,RARRES1,S100A14,SERINC2,SLC16A3,SLC25A37,SPHK1,SRSF4,TMEM14A,TP63,TYMP"
Epithelium	Epithelial cell	Mesothelial cell	Mesothelial cell	pos	"ACKR3,ADGRD1,ANO1,AR,BCL3,C2,CALB2,CDH1,CDON,COBLL1,CRLS1,DES,DPP4,DUSP5,EFEMP1,FBXO33,FGF1,FLNC,FMO2,FMOD,FRAS1,FZD1,GBP2,GSTA3,HAS2,IL17RE,KCNAB1,KRT5,KRT6A,KRT7,LGALS7,LOX,LRRN4,ME1,ME2,MEDAG,MIR22HG,MSLN,MUC16,NPR1,OSR1,PCSK6,PKHD1L1,PTGS2,RARRES2,RASL11A,RND1,RSPO1,ST3GAL1,SULF1,THBD,TWSG1,WT1"
Pancreas	Acinar cell	Acinar cell	Acinar cell	pos	"AKR1C3,ALDOB,AMY2B,ANGPTL4,ANPEP,C15ORF48,CEL,CELA1,CELA2A,CELA3A,CELA3B,CFB,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CXCL17,DUOXA2,GDF15,GSTA1,GSTA2,KLK1,LGALS2,LYZ,MUC1,OLFM4,PDZK1IP1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS2,PRSS3,PTF1A,RARRES2,RBPJL,REG1A,REG1B,REG3A,RNASE1,SERPINA3,SPINK1,SYCN,UBD,ZG16"
Pancreas	Alpha cell	Alpha cell	Alpha cell	pos	"ALDH1A1,ARX,CHGA,CRYBA2,DPP4,F10,FAP,FEV,FXYD5,GC,GCG,GLS,GPR119,IRX1,IRX2,KLHL41,LDB2,LOXL4,MAFB,NEUROD1,NKX6-1,PAX6,PCSK2,PEMT,PGR,PLCE1,PTGER3,PYY,RESP18,RFX6,RGS4,SCGB2A1,SCGN,SH3GL2,SLC30A8,SLC38A5,SMARCA1,SMIM24,TM4SF4,TTR,UCP2"
Pancreas	Beta cell	Beta cell	Beta cell	pos	"ADCYAP1,BMP5,CASR,CD40,DLK1,EDARADD,EFNA5,EZH1,FFAR2,FXYD2,G6PC2,GCGR,GJD2,HAMP,HOPX,IAPP,IGF2,INS,ISL1,JPH3,LMX1A,MAFA,MAFB,MEG3,NEUROD1,NKX2-2,NKX6-1,NKX6-2,NPTX2,NTRK1,PAX4,PAX6,PCSK1,PCSK2,PDX1,PFKFB2,PIR,RGS16,RIMS1,SCGB2A1,SCGN,SH3GL2,SIX2,SIX3,SLC2A2,SLC30A8,SMAD9,STXBP5,SYT13,TGFBR3"
Pancreas	Delta cell	Delta cell	Delta cell	pos	"BAIAP3,BCHE,BHLHE41,CASR,EDN3,EHF,ETV1,FFAR4,FRZB,FXYD2,GABRB3,GABRG2,GHSR,GPC5-AS1,HHEX,IAPP,ISL1,KCNK16,LCORL,LEPR,MS4A8,NPTX2,PAX4,PCSK1,PCSK9,PDX1,POU3F1,PRG4,RBP4,RESP18,SCGN,SST,UCP2,UNC5B"
Pancreas	Ductal cell	Ductal cell	Ductal cell	pos	"AKR1C3,ALDH1A3,AMBP,ANXA4,AQP1,CCL2,CFB,CFTR,CLDN1,CLDN10,CLDN4,CTSH,CXCL2,DCDC2,DEFB1,GDF15,HHEX,HNF1B,KRT19,KRT20,KRT7,LAMB3,LGALS4,MMP7,MUC1,PDLIM3,PDX1,PERP,PIGR,S100A10,SERPINA3,SERPINA5,SERPING1,SLC3A1,SLPI,SPP1,TACSTD2,TFF1,TFF2,TSPAN8,VTCN1,WFDC2"
Pancreas	Epsilon cell	Epsilon cell	Epsilon cell	pos	"ACSL1,ADAMTS6,AFF3,ANXA13,APOH,ARX,ASGR1,BHMT,BMP4,C2ORF54,CALCR,CD109,COL12A1,COL22A1,CORIN,COX6A2,ELOVL2,EYA4,FAM124A,FAXDC2,FRZB,GHRL,GHRLOS,HMGCS2,HRH2,ITGA4,KRT8,MYO1A,NKX2-2,NPY1R,OLFML3,OPRK1,PCSK6,PHGR1,PTGER4,S100A6,SLC6A16,SLC7A9,SPINK1,SPTSSB,THSD4,TM4SF5,VSTM2L,VTN,XYLB"
Pancreas	Gamma (PP) cell	Gamma (PP) cell	Gamma (PP) cell	pos	"ABCC9,APOBEC2,AQP3,ARX,CARTPT,CHN2,CMTM8,EGR3,ENTPD2,ETV1,FGB,FXYD2,GPC5-AS1,ISL1,LMO3,MEIS1,NEUROD1,PAX6,PPY,PPY2P,PTGFR,PXK,SCGB2A1,SCGN,SEMA3E,SERTM1,SLITRK6,THSD7A,ZNF503"
